Frequency,Amplitude
1997950000.0,-98.537612915
1995450000.0,-98.9614181519
1991400000.0,-99.3066253662
1999350000.0,-98.6513137817
1986800000.0,-98.4088897705
1980650000.0,-99.3616104126
1999650000.0,-98.919342041
1999200000.0,-98.9079971313
1995450000.0,-98.2336120605
1995300000.0,-99.471282959
